window_id,suffix,Ticker,Strategy,Weight
Markowitz,272,GOOGL,Markowitz,0.24999999999999822
Markowitz,272,MSFT,Markowitz,0.25
Markowitz,272,NVDA,Markowitz,0.24999999999999897
RandomForest,272,AAPL,RandomForest,0.24999999999999917
RandomForest,272,AMZN,RandomForest,0.2499999999999972
RandomForest,272,GOOGL,RandomForest,0.25
RandomForest,272,MSFT,RandomForest,1.897787482718627e-15
RandomForest,272,NVDA,RandomForest,0.25
XGBoost,272,AAPL,XGBoost,0.24999999999999997
XGBoost,272,AMZN,XGBoost,3.941291737419306e-15
XGBoost,272,GOOGL,XGBoost,0.2499999999999933
XGBoost,272,MSFT,XGBoost,0.25
XGBoost,272,NVDA,XGBoost,0.25
TabPFN,272,AAPL,TabPFN,0.25
TabPFN,272,AMZN,TabPFN,5.495603971894525e-15
TabPFN,272,GOOGL,TabPFN,0.24999999999999264
TabPFN,272,MSFT,TabPFN,0.25
TabPFN,272,NVDA,TabPFN,0.2499999999999996
EqualWeight,277,AAPL,EqualWeight,0.2
EqualWeight,277,AMZN,EqualWeight,0.2
EqualWeight,277,GOOGL,EqualWeight,0.2
EqualWeight,277,MSFT,EqualWeight,0.2
EqualWeight,277,NVDA,EqualWeight,0.2
Markowitz,277,AAPL,Markowitz,0.25
Markowitz,277,AMZN,Markowitz,0.25
Markowitz,277,GOOGL,Markowitz,0.24999999999999997
Markowitz,277,MSFT,Markowitz,0.25
Markowitz,277,NVDA,Markowitz,0.0
RandomForest,277,AAPL,RandomForest,0.25
RandomForest,277,AMZN,RandomForest,0.25
RandomForest,277,GOOGL,RandomForest,0.24999999999999775
RandomForest,277,MSFT,RandomForest,0.25
RandomForest,277,NVDA,RandomForest,9.992007221626409e-16
XGBoost,277,AAPL,XGBoost,0.24999999999999784
XGBoost,277,AMZN,XGBoost,0.25
XGBoost,277,GOOGL,XGBoost,0.24999999999999672
XGBoost,277,MSFT,XGBoost,0.24999999999999872
XGBoost,277,NVDA,XGBoost,1.27675647831893e-15
TabPFN,277,AAPL,TabPFN,0.25
TabPFN,277,AMZN,TabPFN,0.24999999999999967
TabPFN,277,GOOGL,TabPFN,0.25
TabPFN,277,MSFT,TabPFN,0.25
TabPFN,277,NVDA,TabPFN,0.0
EqualWeight,282,AAPL,EqualWeight,0.2
EqualWeight,282,AMZN,EqualWeight,0.2
EqualWeight,282,GOOGL,EqualWeight,0.2
EqualWeight,282,MSFT,EqualWeight,0.2
EqualWeight,282,NVDA,EqualWeight,0.2
Markowitz,282,AAPL,Markowitz,0.25
Markowitz,282,AMZN,Markowitz,0.25
Markowitz,282,GOOGL,Markowitz,0.25
Markowitz,282,MSFT,Markowitz,0.25
Markowitz,282,NVDA,Markowitz,0.0
RandomForest,282,AAPL,RandomForest,0.25
RandomForest,282,AMZN,RandomForest,0.24999999999999223
RandomForest,282,GOOGL,RandomForest,0.25
RandomForest,282,MSFT,RandomForest,0.25
RandomForest,282,NVDA,RandomForest,0.0
XGBoost,282,AAPL,XGBoost,0.24999999999998712
XGBoost,282,AMZN,XGBoost,0.25
XGBoost,282,GOOGL,XGBoost,0.24999999999999467
XGBoost,282,MSFT,XGBoost,0.25
XGBoost,282,NVDA,XGBoost,8.271161533457416e-15
TabPFN,282,AAPL,TabPFN,0.25
TabPFN,282,AMZN,TabPFN,0.0
TabPFN,282,GOOGL,TabPFN,0.24999999999999994
TabPFN,282,MSFT,TabPFN,0.24999999999999878
TabPFN,282,NVDA,TabPFN,0.25
EqualWeight,287,AAPL,EqualWeight,0.2
EqualWeight,287,AMZN,EqualWeight,0.2
EqualWeight,287,GOOGL,EqualWeight,0.2
EqualWeight,287,MSFT,EqualWeight,0.2
EqualWeight,287,NVDA,EqualWeight,0.2
Markowitz,287,AAPL,Markowitz,0.2499999999999998
Markowitz,287,AMZN,Markowitz,0.25
Markowitz,287,GOOGL,Markowitz,0.25
Markowitz,287,MSFT,Markowitz,0.25
Markowitz,287,NVDA,Markowitz,0.0
RandomForest,287,AAPL,RandomForest,0.2499999999999983
RandomForest,287,AMZN,RandomForest,0.25
RandomForest,287,GOOGL,RandomForest,0.25
RandomForest,287,MSFT,RandomForest,0.25
RandomForest,287,NVDA,RandomForest,0.0
XGBoost,287,AAPL,XGBoost,0.25
XGBoost,287,AMZN,XGBoost,0.25
XGBoost,287,GOOGL,XGBoost,0.25
XGBoost,287,MSFT,XGBoost,0.24999999999999664
XGBoost,287,NVDA,XGBoost,0.0
TabPFN,287,AAPL,TabPFN,0.2499999999999992
TabPFN,287,AMZN,TabPFN,0.25
TabPFN,287,GOOGL,TabPFN,0.24999999999999975
TabPFN,287,MSFT,TabPFN,0.25
TabPFN,287,NVDA,TabPFN,6.38378239159465e-16
EqualWeight,292,AAPL,EqualWeight,0.2
EqualWeight,292,AMZN,EqualWeight,0.2
EqualWeight,292,GOOGL,EqualWeight,0.2
EqualWeight,292,MSFT,EqualWeight,0.2
EqualWeight,292,NVDA,EqualWeight,0.2
Markowitz,292,AAPL,Markowitz,7.563394355258879e-16
Markowitz,292,AMZN,Markowitz,0.25
Markowitz,292,GOOGL,Markowitz,0.24999999999999717
Markowitz,292,MSFT,Markowitz,0.25
Markowitz,292,NVDA,Markowitz,0.25
RandomForest,292,AAPL,RandomForest,0.25
RandomForest,292,AMZN,RandomForest,0.25
RandomForest,292,GOOGL,RandomForest,0.0
RandomForest,292,MSFT,RandomForest,0.25
RandomForest,292,NVDA,RandomForest,0.2499999999999997
XGBoost,292,AAPL,XGBoost,0.25
XGBoost,292,AMZN,XGBoost,0.24999999999999953
XGBoost,292,GOOGL,XGBoost,1.1102230246251565e-16
XGBoost,292,MSFT,XGBoost,0.24999999999999967
XGBoost,292,NVDA,XGBoost,0.24999999999999933
TabPFN,292,AAPL,TabPFN,4.9960036108132044e-15
TabPFN,292,AMZN,TabPFN,0.25
TabPFN,292,GOOGL,TabPFN,0.24999999999999933
TabPFN,292,MSFT,TabPFN,0.24999999999999634
TabPFN,292,NVDA,TabPFN,0.24999999999999936
EqualWeight,297,AAPL,EqualWeight,0.2
EqualWeight,297,AMZN,EqualWeight,0.2
EqualWeight,297,GOOGL,EqualWeight,0.2
EqualWeight,297,MSFT,EqualWeight,0.2
EqualWeight,297,NVDA,EqualWeight,0.2
Markowitz,297,AAPL,Markowitz,0.24999999999999678
Markowitz,297,AMZN,Markowitz,0.249999999999999
Markowitz,297,GOOGL,Markowitz,0.0
Markowitz,297,MSFT,Markowitz,0.24999999999999967
Markowitz,297,NVDA,Markowitz,0.25
RandomForest,297,AAPL,RandomForest,0.25
RandomForest,297,AMZN,RandomForest,0.2499999999999985
RandomForest,297,GOOGL,RandomForest,0.0
RandomForest,297,MSFT,RandomForest,0.24999999999999917
RandomForest,297,NVDA,RandomForest,0.249999999999997
XGBoost,297,AAPL,XGBoost,0.25
XGBoost,297,AMZN,XGBoost,0.24999999999999856
XGBoost,297,GOOGL,XGBoost,0.0
XGBoost,297,MSFT,XGBoost,0.25
XGBoost,297,NVDA,XGBoost,0.25
TabPFN,297,AAPL,TabPFN,0.2125167300601802
